;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz;',./
Length=4
InvalidChar=;iuv
[Rule]
e2=p11+p12+p21+p22
e3=p11+p12+p21+p31
a4=p11+p21+p31+n11
[Data]
/ 、
bjdq 本地区
bjdr 本地人
bjdt 北京电视台
bjdu 鞭打
bjdv 本地
bjdw 本单位
bjdx 北京大学
bje 髟
bjec 髟
bjeh 贝加尔湖
bjey 比较而言
bjez 不胫而走
bjf 鞭
bjf, 勃发
bjfd 比较发达
bjfj 鞭
bjfq 不解风情
bjfr 本分
bjfs 饱经风霜
bjfy 丙方
bjfz 比较复杂
bjg 贲
bjgc 本港
bjgf 贲
bjgg 本国
bjgp 本该
bjgs 本公司
bjgx 白驹过隙
bjhe 本行
bjhf 本会
bjhh 保驾护航
bjj 博
bjj/ 本级
bjja 鞴
bjjb 本节
bjjf 本金
bjjn 本届
bjjn 博
bjjo 本家
bjjq 本季
bjjs 不仅仅是
bjjt 鬓角
bjjx 别具匠心
bjjz 不见经传
bjkh 本刊
bjkn 比较困难
bjko 博客
bjkq 本科
bjks 本科生
bjl/ 丙纶
bjl; 本轮
bjlf 本领
bjlh 博览会
bjli 本类
bjll 本来
bjlq 本利
bjls 博览
bjlx 背井离乡
bjly 保加利亚
bjm 邴
bjm; 靶
bjmh 本末
bjmn 本命年
bjmx 比较明显
bjmy 比较满意
bjmz 孛
bjn. 本能
bjnd 本年度
bjnq 本年
bjo 鬓
bjo, 鬓
bjp 逋
bjpi 鞭炮
bjpq 本篇
bjpv 逋
bjqc 比较清楚
bjqj 本期
bjqq 并驾齐驱
bjqs 不计其数
bjqv 勃起
bjqx 不计前嫌
bjqy 不解其意
bjqz 本钱
bjrb 北京日报
bjrc 不仅如此
bjrf 本人
bjrh 伴君如伴虎
bjrl 不绝如缕
bjrq 不近人情
bjrs 本日
bjrt 勃然
bjry 不尽人意
bjrz 本
bjs 醭
bjs/ 本书
bjse 本所
bjsf 北京市政府
bjsh 博士后
bjsi 醭
bjsj 博士
bjsj 本事
bjsj 北京时间
bjsl 比较顺利
bjsp 保健食品
bjss 本是
bjst 巴基斯坦
bjst 本色
bjsw 本身
bjsy 本市
bjt 鹁
bjt. 本台
bjtf 本体
bjtg 本田
bjth 本土化
bjtl 本条例
bjtp 鹁
bjts 别具特色
bjtt 本条
bjtu 鞭挞
bjtv 本土
bjwb 北京晚报
bjwf 本位
bjwg 博物馆
bjwq 博物
bjws 比较完善
bjwu 博闻
bjwy 本文
bjwz 本网站
bjx/ 本乡
bjxc 本溪
bjxg 本县
bjxi 丙烯
bjxj 不拘小节
bjxk 本学科
bjxo 本性
bjxo 博学
bjxp 靶心
bjxt 不尽相同
bjxw 本息
bjxx 本校
bjyc 本源
bjyd 本月
bjye 不绝于耳
bjyg 别具一格
bjyg 不拘一格
bjyi 本义
bjyk 本原
bjym 本院
bjyn 本已
bjyy 本意
bjyy 博弈
bjyy 本应
bjze 本质
bjzi 本着
bjzj 本职
bjzl 必经之路
bjzm 百家争鸣
bjzs 本质上
bjzt 本周
bjzy 本站
bjzy 不解之缘
bjzy 拜金主义
bjzz 并肩作战
bk 百
bk, 夯
bkao 不安
bkar 不爱
bkb 礴
bkb, 不办
bkb; 不比
bkbc 奔波
bkbc 礴
bkbe 百般
bkbf 不便
bkbf 百倍
bkbg 不败
bkbk 不包括
bkbm 不可避免
bkbn 不避
bkbp 不必
bkbs 不必说
bkbt 不备
bkbu 不把
bkbx 百宝箱
bkby 不变
bkc/ 奔驰
bkc; 飙车
bkca 不齿
bkcc 不测
bkcf 不从
bkcg 不超过
bkci 不曾
bkcj 不耻
bkck 不成
bkcl 不吃
bkcm 不出
bkcq 磅秤
bkcw 不成文
bkcy 百次
bkcz 不错
bkd. 不对
bkd; 不到
bkdb 不得不
bkdc 不动产
bkde 不得
bkdf 不但
bkdh 不动
bkdi 不断
bkdj 不多见
bkdk 不大
bkdl 不得了
bkdo 不懂
bkdq 不等
bkds 不但是
bkdt 不多
bkdw 不倒翁
bkdy 百度
bkdy 不得已
bkdy 不低于
bkf 不
bkf, 不妨
bkfb 百分比
bkfc 不法
bkfd 百分点
bkfg 不可分割
bkfl 百分率
bkfm 布防
bkfn 不费
bkfq 不符
bkfr 不乏
bkfs 百分数
bkft 不负
bkfv 奔赴
bkfy 奔放
bkfz 百分之
bkg 布
bkg/ 不给
bkg; 不轨
bkgf 不规范
bkgg 不过关
bkgh 不干
bkgi 不关
bkgj 不过
bkgk 不顾
bkgl 不跟
bkgn 不敢
bkgo 百官
bkgp 不该
bkgq 不管
bkgq 布告
bkgr 不可告人
bkgr 不公
bkgr 泵
bkgs 不过是
bkgt 不够
bkgx 不高兴
bkgx 布
bkgy 不高
bkgz 百
bkh, 不好
bkhb 百花
bkhe 不很
bkhf 不会
bkhh 百合花
bkhj 百花奖
bkho 不慌
bkhq 不可或缺
bkhs 不堪回首
bkhv 不坏
bkhz 不惑
bkj 奔
bkj/ 不经
bkjb 不具备
bkjc 不济
bkjd 不见得
bkjf 不仅
bkjg 不见
bkjh 不仅会
bkjj 不仅仅
bkjk 奔
bkjm 嫑
bkjm 不结盟
bkjn 布局
bkjo 不觉
bkjo 百家
bkjp 不计
bkjq 不久前
bkjr 不尽然
bkjs 布景
bkjt 不解
bkjt 不久
bkjt 不及
bkju 不拘
bkjv 不均
bkjx 不禁
bkjy 不可救药
bkjy 不经意
bkjz 不仅在
bkka 不肯
bkkb 不可不
bkkh 不开
bkkj 不可开交
bkkl 不可抗力
bkkn 不可能
bkko 不愧
bkkq 百科
bkks 不愧是
bkkv 不堪
bkkw 不愧为
bkky 不可以
bkkz 不可
bkl, 不力
bklc 奔流
bklg 百里
bklh 不理
bkli 不料
bkli 布料
bkll 不来
bkln 百灵
bklp 不论
bklq 不利
bkls 不论是
bklw 不例外
bkly 不利于
bklz 布朗族
bkm, 不妙
bkm/ 奔马
bkmb 不明白
bkmc 不满
bkmc 布满
bkmd 百慕大
bkmg 不瞒
bkmi 百米
bkmk 布面
bkml 不灭
bkmm 不可磨灭
bkmo 奔忙
bkms 不明
bkmt 不免
bkmy 不满意
bkmz 不可名状
bkn. 不能
bknb 不能不
bknf 不耐烦
bkng 不能够
bkno 不宁
bknq 百年
bkns 不能说
bknz 不能再
bko 殡
bko, 殡
bkp 碥
bkpd 不平等
bkpf 不平凡
bkph 不平衡
bkpj 不配
bkpk 碥
bkpl 奔跑
bkpo 不怕
bkpz 布匹
bkqc 不清
bkqd 不确定
bkqf 不全
bkqi 不前
bkqj 不求
bkqn 不屈
bkqn 不强
bkqq 不缺
bkqs 百科全书
bkqv 不去
bkqy 不起眼
bkr 砭
bkr, 不忍
bkr, 不如
bkr. 砭
bkrm 不堪入目
bkro 不容
bkrp 不让
bkrs 不认识
bkrt 不然
bkrx 不忍心
bkry 不容易
bkrz 不认真
bksa 不上
bksc 不深
bksd 不少
bksf 布什
bksg 百岁
bksi 不善
bksj 奔丧
bksj 不甚
bksm 别开生面
bkso 不慎
bksp 不说
bksq 不算
bksq 不失
bksr 不受
bkss 不是
bkss 不时
bkst 百色
bksw 不失为
bksx 不堪设想
bksy 不可思议
bksy 不熟
bksy 不少于
bksz 不爽
bkt 飙
bkt. 不通
bktd 奔腾
bktf 不停
bktg 不同
bkth 甭
bktk 不太
bktl 不听
bktn 不退
bkto 奔头
bktp 不谈
bktr 不妥
bktr 飙
bktx 不可推卸
bkty 不同于
bkw 碑
bkw; 百万
bkwd 不稳定
bkwg 不畏
bkwh 不无
bkwh 不外乎
bkwi 不为
bkwn 碑
bkwq 不完全
bkws 不完善
bkwu 不问
bkww 布娃娃
bkwx 不枉
bkwy 不忘
bkx, 百姓
bkx/ 布线
bkxc 不寻常
bkxd 不小
bkxe 不行
bkxf 不信
bkxf 不像
bkxg 不锈钢
bkxh 不喜欢
bkxj 布鞋
bkxl 不需
bkxm 不限
bkxn 不屑
bkxo 不惜
bkxo 不懈
bkxp 不许
bkxr 不相容
bkxv 不幸
bkxw 奔向
bkxx 不想
bkxy 不需要
bky 磅
bky, 不孕
bky. 不予
bkyc 百叶窗
bkyc 不远处
bkyd 不由得
bkyd 不一定
bkyf 百余
bkyg 不应该
bkyh 不远
bkyi 碚
bkyi 磅
bkyj 不要
bkyj 不堪一击
bkyk 不愿
bkyl 不要脸
bkyn 不已
bkyo 不宜
bkyp 不语
bkyq 不要求
bkys 不易
bkyt 不用
bkyx 不允许
bkyy 不应
bkyy 不亚于
bkyy 不可逾越
bkyz 不一致
bkz; 不致
bkza 不止
bkzb 殡葬
bkzc 不正常
bkzd 不知道
bkzf 不住
bkzg 布置
bkzh 不在乎
bkzi 不着
bkzj 不再
bkzk 不在
bkzl 不足
bkzl 不只
bkzm 不可捉摸
bkzq 不知
bkzs 不再是
bkzt 不周
bkzu 不振
bkzv 奔走
bkzy 不准
bkzz 报刊杂志
bl 吧
bl, 跛
bl,g 跛
bl; 吡
bl;t 哔
bl;t 跸
bl;t 吡
blbb 鄙薄
blbc 不理不睬
blbl 不伦不类
blbq 不离不弃
blbr 不冷不热
blbu 别把
blby 表里不一
blc 啵
blc, 啵
blcg 百炼成钢
blcj 半路出家
blcl 别吃
blcq 别称
blct 别处
blcx 兵临城下
bldh 波罗的海
bldi 霸道
bldk 不良贷款
blds 闭路电视
bldw 别的
bldx 薄利多销
bleh 不劳而获
blf 卟
blfq 不良风气
blfy 不良反应
blfz 拨乱反正
blg 蹦
blgf 呗
blgg 别国
blgq 别管
blgx 嘣
blgx 蹦
blhg 不良后果
blhj 兵连祸结
blhl 别号
blhp 跋扈
blj 霸
blja 霸
bljg 别具
bljj 濒临绝境
bljn 哺
bljs 本来就是
bljx 蹦极
blk 跋
blk. 跋
blkj 不落窠臼
blkq 别看
blll 筚路蓝缕
bllr 白领丽人
blly 别离
bllz 不了了之
blm 鄙
blm; 吧
blmm 本来面目
blmt 别名
blnu 别扭
blpc 濒临破产
blpo 别怕
blqq 霸气
blqs 博览群书
blqx 霸权
blqy 鄙弃
blr 叭
blrf 别人
blrj 别人家
blrp 别让
blrq 哺乳期
blrr 哺乳
blry 表里如一
bls 别
blsc 跋涉
blse 布鲁塞尔
blsg 别墅
blsp 鄙视
blsp 别说
blss 不露声色
blst 巴勒斯坦
blsx 办理手续
blsy 壁垒森严
blt 雹
blt. 吧台
bltk 别太
bltl 蹦跳
bltn 雹
bltq 趵突泉
bltu 别提
bltv 趵
blty 百里挑一
blwh 霸王
blwj 步履维艰
blwu 别问
blwx 包罗万象
blwy 别忘
blxn 半老徐娘
blxx 别想
bly 踣
bly; 鄙夷
blyi 踣
blyk 别有
blys 霸业
blyt 别用
blyw 别以为
blyx 别样
blyy 哺育
blz; 别致
blza 霸占
blzj 别再
blzk 波澜壮阔
blzo 别字
blzv 别走
blzy 霸主
blzz 别针
bm 巴
bm, 陂
bm,g 陂
bm; 陛
bm; 巴
bm;t 陛
bmbb 不明不白
bmbd 巴不得
bmbl 巴比伦
bmbm 巴巴
bmcj 报名参加
bmcx 避免出现
bmdz 本末倒置
bme 阪
bme. 阪
bmeg 巴尔干
bmeh 不谋而合
bmfw 便民服务
bmfz 部门负责
bmgd 巴格达
bmgz 保密工作
bmj/ 巴结
bmjf 巴金
bmjl 部门经理
bmlg 巴拉圭
bmll 八面玲珑
bmlq 巴黎
bmlx 巴林
bmnf 班门弄斧
bmnm 巴拿马
bmse 巴塞尔
bmsg 闭门思过
bmsj 巴士
bmsl 不谋私利
bmt 孢
bmtd 表明态度
bmtn 孢
bmwf 八面威风
bmwy 巴望
bmwz 白马王子
bmxj 巴西
bmxj 陛下
bmxx 表面现象
bmy. 巴以
bmys 闭目养神
bmys 百密一疏
bmzd 不毛之地
bmzf 巴掌
bmzm 孢子
bmzx 不明真相
bmzy 不眠之夜
bmzz 拔苗助长
bn 避
bn, 嬖
bn,z 嬖
bnbd 臂膀
bnby 百年不遇
bncx 壁橱
bnd 臂
bndj 百年大计
bndk 剥夺
bnf 鐾
bnfg 避风港
bnfh 鐾
bnft 避风
bngj 避过
bnh 璧
bnha 壁虎
bnha 璧
bnhp 避讳
bnhz 壁画
bni 屏
bnih 屏
bnk 弼
bnkc 不难看出
bnkg 弼
bnkh 避开
bnkj 剥壳
bnl, 臂力
bnl. 壁垒
bnlb 剥落
bnli 壁炉
bnlq 避乱
bnly 剥离
bnlz 避雷针
bnmt 避免
bnn. 避难
bnns 避难所
bnp, 剥皮
bnpv 避
bnq 擘
bnqj 擘
bnqv 剥去
bnrp 避让
bnrr 不能容忍
bns 剥
bnsa 壁上
bnsf 搬弄是非
bnsr 百年树人
bnss 避暑
bnsy 饱暖思淫欲
bnv 壁
bnx 檗
bnx, 避嫌
bnxf 剥削
bnxw 屏息
bnxx 不难想象
bnxz 剥削者
bny 辟
bny, 避孕
bnyi 辟
bnyj 避雨
bnyt 避孕套
bnyt 襞
bnyy 避孕药
bnz/ 壁纸
bnzb 不能自拔
bnzl 避震
bnzq 避震器
bnzy 不能自已
bnzy 臂章
bo 宝
bobg 宝贝
bobo 宝宝
bod, 宝刀
bodg 宝典
bodn 宝殿
bodt 宝岛
bodv 宝地
bogg 宝贵
bogt 宾馆
bogz 宝钢
boha 宝
boj 悖
boj. 宝鸡
bojf 宝剑
bojp 悖
bok 怖
bokg 怖
boko 宾客
boky 宝库
bolp 悖论
bom/ 宝马
bopd 宾朋
boq 愎
boqs 愎
bor 窆
bor. 窆
bosg 宝山
bosk 宝石
botv 宝塔
bow 宾
bowj 宾
bowq 宝物
boy 忭
boyf 忭
boyh 宝玉
boyp 宾语
bozb 宝藏
bozh 宝珠
bozy 宝座
bozy 宾主
bp 被
bp,g 被
bpa 褙
bpak 褙
bpb, 补办
bpbg 必败
bpbk 遍布
bpbt 必备
bpbu 被捕
bpby 不偏不倚
bpbz 被逼
bpcf 补偿
bpci 补差
bpcj 补偿金
bpcw 被称为
bpcy 补充
bpcz 被称作
bpde 必得
bpdh 被动
bpdi 被单
bpdj 补丁
bpdo 必定
bpdq 必答
bpdu 扁担
bpdv 遍地
bpdy 被盗
bpdz 扁豆
bpeo 扁额
bpf 补
bpf, 补发
bpff 被俘
bpfg 被罚
bpfl 褓
bpfx 被发现
bpg 扁
bpgj 扁
bpgq 被告
bpgr 被告人
bpgx 被告席
bph 裱
bpha 裱
bpho 被害
bphr 被害人
bphw 被毁
bphz 被害者
bpi 必
bpiv 必
bpj/ 补给
bpj/ 必经
bpjj 补救
bpjo 必究
bpjt 遍及
bpjv 被劫
bpjy 必将
bpkj 补考
bpkp 补课
bpku 被控
bpku 被扣
bplf 补领
bplj 杯盘狼藉
bpmk 补码
bpn. 必能
bpp 遍
bpp/ 被骗
bppi 被判
bppj 补票
bppk 褊
bppl 补品
bppl 扁平
bppv 遍
bppw 被迫
bpqq 补缺
bpqq 补气
bprf 被人
bprh 必然会
bprp 被褥
bprr 补入
bprs 必然是
bprt 必然
bprw 被认为
bprx 必然性
bpsa 补上
bpsd 必胜
bpsi 遍数
bpsk 必死
bpsq 补税
bpsr 被杀
bpss 必是
bpsw 被视为
bpt, 被她
bptf 被偷
bptg 补贴
bptk 被套
bptt 扁桃体
bpw 裨
bpwn 裨
bpwo 被窝
bpx. 补习
bpxb 必须把
bpxc 必须从
bpxe 必须
bpxf 必修
bpxj 必须将
bpxk 必修课
bpxl 必需
bpxn 遍寻
bpxp 必需品
bpxq 补选
bpxs 必须是
bpxw 被选为
bpxw 补血
bpxx 必须向
bpxy 必须要
bpxz 必须在
bpy 谤
bpyb 补药
bpyg 遍野
bpyg 补遗
bpyi 裨益
bpyi 补益
bpyi 谤
bpyj 必要
bpyk 必有
bpyp 被压迫
bpys 必要时
bpyw 被誉为
bpyx 必要性
bpza 被占
bpzf 补助费
bpzg 补助
bpzi 被炸
bpzj 补正
bpzl 补足
bpzm 被子
bpzq 补种
bpzu 被抓
bq 笔
bq, 笾
bq,p 笾
bq; 秕
bq;t 筚
bq;t 秕
bqbl 拜别
bqbn 不屈不挠
bqbq 拜拜
bqbz 拜把子
bqc 簿
bqcj 簿
bqcm 秉承
bqct 笔触
bqcw 箔
bqdf 拜倒
bqdm 笨蛋
bqdp 拜读
bqdq 笔答
bqdy 笔端
bqey 不期而遇
bqfc 笔法
bqff 拜佛
bqfp 拜访
bqfz 笔锋
bqg 箅
bqgj 箅
bqgr 秉公
bqgx 笔杆
bqgz 笔杆子
bqh 拜
bqhf 拜会
bqhh 拜
bqhz 笔画
bqj 笨
bqja 簸
bqjb 笔记本
bqjd 笔尖
bqjg 拜见
bqjp 笔记
bqjq 簸箕
bqjr 笨
bqjy 笔迹
bql, 笔力
bqln 笔录
bqlt 秘鲁
bqlz 鼻青脸肿
bqm 笆
bqm; 笆
bqmg 笔墨
bqmt 笔名
bqmz 兵强马壮
bqn 秉
bqnq 拜年
bqnz 秉
bqp 秘
bqpi 秘
bqq; 笔
bqr 掰
bqr, 掰
bqrr 不期然而然
bqsd 拜师
bqsh 拜寿
bqsj 不切实际
bqsj 不求甚解
bqsp 笔试
bqsw 笔顺
bqsy 版权所有
bqtf 拜堂
bqtk 笔套
bqto 笔头
bqtp 笔谈
bqtq 笔筒
bqtu 拜托
bqtu 笔挺
bqw 稗
bqw, 篦
bqwn 稗
bqwp 笔误
bqwy 拜望
bqxb 笔芯
bqxh 笔形
bqxj 笔下
bqxo 秉性
bqxp 拜谢
bqyj 冰清玉洁
bqyk 笔友
bqyp 笔译
bqzd 八旗子弟
bqzi 秉烛
bqzj 笔者
bqzm 簿子
bqzq 笨重
bqzu 笨拙
bqzy 霸权主义
br 八
brbc 八荣八耻
brbk 颁布
brbr 爸爸
brbs 八宝山
brby 不仁不义
brbz 八宝粥
brck 八成
brdh 不然的话
brdl 八达岭
brdn 勃然大怒
brdw 哺乳动物
brf, 颁发
brfr 八分
brfs 不容分说
brfy 八方
brg/ 颁给
brgd 八股
brgf 八个
brgh 病入膏肓
brgl 必然规律
brgv 八卦
brgz 八哥
brhj 薄弱环节
brhs 不容忽视
brjg 必然结果
brjn 八届
brjt 八角
brjt 八九
brjy 颁奖
brk 颁
brkg 颁
brlg 不容乐观
brlj 八路军
brll 八路
brm 爸
brm, 爸妈
brm; 爸
brnq 八年
brqn 八强
brqs 必然趋势
brqy 八旗
brrs 八日
brsj 八十
brsm 不辱使命
brsu 颁授
brt 豹
brth 八天
brts 逼人太甚
brtt 八条
brtv 豹
brv 坌
brw; 八万
brwf 八位
brwj 八五
brxe 颁行
brxf 八仙
brxj 兵戎相见
brxs 八小时
brxz 八仙桌
bryd 八月
bryz 八一
brzg 步入正轨
brzm 豹子
brzo 八字
brzu 八折
brzy 不容置疑
bs 暴
bsbh 半死不活
bsbj 百思不得其解
bsbj 笨手笨脚
bsbj 百思不解
bsbs 半身不遂
bsbx 不声不响
bsbz 比上不足
bsdd 板上钉钉
bsdx 不是东西
bsft 暴风
bsgf 曝光
bsgw 倍受鼓舞
bsgx 表示感谢
bshy 不受欢迎
bsj 晡
bsja 暴
bsjc 本世纪初
bsjg 办事机构
bsjn 晡
bsjq 不思进取
bsjx 避实就虚
bskl 百事可乐
bsl, 暴力
bsll 暴露
bsln 巴塞罗那
bslq 暴利
bsls 逼上梁山
bsmj 不胜枚举
bsmn 暴民
bsmy 表示满意
bsnd 八十年代
bsqf 不胜其烦
bsqj 白手起家
bsqx 冰释前嫌
bss 曝
bssd 避暑胜地
bssj 不失时机
bssj 曝
bsss 跋山涉水
bssw 不识时务
bssz 避暑山庄
bstj 不识抬举
bsty 表示同意
bswt 不少问题
bsww 表示慰问
bsxw 博士学位
bsxx 办事效率
bsyg 不是一个
bsyj 暴雨
bsym 榜上有名
bsyz 背水一战
bszh 表示祝贺
bszk 不速之客
bszr 饱食终日
bszx 不时之需
bszy 表率作用
bt 匕
bt; 狴
bt;t 狴
btao 备案
btb, 包办
btbj 半推半就
btbn 笨头笨脑
btby 包庇
btby 不痛不痒
btca 饱餐
btcb 包藏
btcc 不同层次
btcd 不同程度
btcf 饱尝
btcu 包抄
btcv 包场
btcx 备查
btcy 包产
btdq 不同地区
btef 半途而废
bten 包二奶
btff 备份
btfp 包袱
btft 饱饭
btfx 不同凡响
btg 备
btgf 狈
btgh 饼干
btgj 包工
btgj 备
btgk 备感
btgl 饱嗝
btgq 包管
btgr 包公
btgt 包工头
btgy 包裹
btgz 包干制
bth, 备好
bthb 刨花
bthc 包涵
bthd 饱和度
bthf 包含
bthf 饱含
bthq 饱和
bthu 包换
bthz 包含着
bti 饼
btih 饼
btir 飚
btj 饽
btj/ 饱经
btjf 备件
btjm 鳔
btjp 饽
btjx 包机
btjz 本台记者
btk 鲅
btk. 鲅
btkj 备考
btkp 备课
btku 包括
btli 备料
btls 遍体鳞伤
btlu 包揽
btlx 不同类型
btmc 饱满
btmr 悲天悯人
btn 包
btnb 包
btp 惫
btp, 包皮
btpj 包票
btpk 鳊
btpo 惫
btqk 不同情况
btqy 备齐
btro 包容
bts 刨
btsc 抱头鼠窜
btsi 匕首
btsr 备受
btt 饱
bttk 抱头痛哭
bttn 鲍
bttn 飑
bttn 饱
btto 包头
bttp 鸨
btts 包头市
bttw 暴殄天物
btwg 包围
btwl 备忘录
btwq 包围圈
btwy 备忘
btxc 不同寻常
btxd 冰天雪地
btxf 包修
btxk 包厢
btxl 白头偕老
btxo 饱学
btxq 备选
btxz 包销
btyb 不同一般
btyd 包月
btyj 悲痛欲绝
btyk 备有
btyt 备用
btz; 备至
btza 备战
btzc 备注
btzd 包装袋
btzf 包装费
btzh 包装盒
btzi 包着
btzm 包子
btzq 包租
btzu 包扎
btzx 包装箱
btzy 包装
bu 把
bu, 拨
bu,. 拨
buao 报案
bubh 报表
bubk 摆布
bubu 播报
bubx 把柄
buby 抱病
bucf 报仇
bucj 报酬
buck 扮成
bucm 播出
bucm 摆出
bucm 拔出
bucm 搬出
bucq 报称
bucu 把持
bud, 拔刀
bud; 报到
budc 摆渡
budh 搬动
budh 摆动
budh 拨动
budi 报道
budo 搏斗
budo 抱定
budq 报答
buds 报道说
budu 拔掉
bue 搬
bue. 扳
bue. 搬
bueg 报恩
buff 拨付
bufj 播放机
bufq 报复
buft 抱负
bufx 报复性
bufy 播放
bufy 报废
bufy 摆放
bug 摆
bug/ 拨给
bugg 报国
bugh 报告会
bugi 把关
bugq 报告
bugr 报告人
bugs 报告书
bugs 摆
bugt 报告团
bugy 拔高
bugz 报告中
buh, 摆好
buhb 捕获
buhc 拔河
buhf 闭合
buhf 闭会
buhg 扳回
buhh 闭环
buhl 拨号
buho 抱憾
bui 拌
buih 拌
buj 捕
buj/ 报经
bujb 报警
bujc 闭
bujd 拔尖
bujf 报价
bujg 报界
bujh 搏击
buji 闭卷
bujn 搏
bujn 捕
bujo 搬家
bujs 抱紧
buju 报捷
bujx 扳机
bujz 摆架子
buk 拔
buk. 拔
bukh 报刊
bukj 报考
bukj 拨款
bukl 闭口
buku 摆阔
bul 捌
bul, 捌
bulh 扮靓
bull 闭路
bult 捕猎
bulu 捕捞
bum 报
bum. 报
bum; 把
bumb 闭幕
bumc 摆满
bumd 把脉
bumf 报名费
bumg 闭门羹
bumg 闭目
bumj 摆卖
bums 闭幕式
bumt 报名
bumu 闭门
bun 摒
bunf 把你
bunh 搬弄
bunh 摆弄
bunn 把那
bunr 摒
buo 摈
buo, 摈
bupl 摆平
bupp 摆谱
bupu 报批
buqi 抱歉
buqp 报请
buqq 搬迁
buqv 抱起
buqy 摒弃
buqz 把钱
bur 扒
bur, 扮
burq 播
bus/ 拔丝
busa 报上
busf 捕食
busi 报送
busm 报收
buso 闭塞
buso 把守
buso 报审
busp 报社
busp 摆设
busq 扳手
busq 把手
busr 捕杀
busr 搏杀
buss 报时
busy 把所有
busz 把式
but 抱
but, 把她
but. 拨通
butd 摆脱
butf 报停
butn 抱
buto 抱头
butu 摆摊
buty 报童
buw 捭
buwh 把玩
buwn 捭
buwq 把我
buwt 报务
buwu 把握
buwy 报务员
bux. 把戏
buxf 报信
buxj 报喜
buxs 报晓
buxx 扮相
buxy 报效
buxz 报销
buy. 报以
buy/ 报验
buy; 拔牙
buyc 扮演
buyg 闭眼
buyh 搬运
buyi 抱养
buyk 抱有
buyo 报忧
buyq 搬移
buys 报业
buys 播映
buyt 抱怨
buyt 捕鱼
buyy 报应
buyy 播音
buyy 播音员
buz/ 报纸
buzd 捕捉到
buzf 抱住
buzg 报账
buzi 抱着
buzj 摆正
buzk 摆在
buzl 闭嘴
buzq 播种
buzs 报纸上
buzu 捕捉
buzv 搬走
buzy 报章
bv 坝
bve 坂
bve. 坂
bvgf 坝
bvto 埠头
bvw 埠
bvwn 埠
bvzm 坝子
bw 白
bwb, 白边
bwbg 兵败
bwbh 版本号
bwbj 版本
bwbk 白布
bwbl 卑鄙
bwbt 兵备
bwbw 不闻不问
bwbw 白白
bwbx 白板
bwby 兵变
bwcb 白菜
bwcd 白炽灯
bwci 白炽
bwcj 白醋
bwcl 白吃
bwcv 白城
bwcy 白痴
bwdf 白癜风
bwdi 白道
bwdj 白带
bwdl 不无道理
bwdu 白搭
bwe 版
bwe. 版
bwej 白垩纪
bwf, 白发
bwfc 兵法
bwfd 并网发电
bwfi 白粉
bwfn 白费
bwft 白饭
bwfw 百万富翁
bwg 鼻
bwgc 兵工厂
bwgf 白光
bwgg 白骨
bwgj 鼻
bwgo 白宫
bwgx 帛
bwgz 保卫工作
bwha 白虎
bwhb 白花
bwhc 白活
bwhh 白花花
bwhp 白鹤
bwhp 白话
bwhw 白话文
bwhx 白桦
bwhz 版画
bwj 卑
bwjc 白酒
bwjf 白金
bwjg 卑贱
bwjh 把握机会
bwji 白卷
bwjj 百无禁忌
bwjo 兵家
bwjx 不畏艰险
bwjy 白净
bwk 魃
bwk. 魃
bwkm 鼻孔
bwks 白开水
bwkv 版块
bwl, 兵力
bwlb 白萝卜
bwlc 鼻梁
bwld 卑劣
bwld 白兰地
bwlf 白领
bwlk 白磷
bwll 百无聊赖
bwll 白鹭
bwll 白露
bwls 兵临
bwm 币
bwm/ 兵马
bwm/ 白马
bwmc 白沫
bwmi 白米
bwmk 版面
bwmm 白茫茫
bwmo 白忙
bwmq 鼻毛
bwmt 白猫
bwmu 白描
bwmy 兵马俑
bwn, 白嫩
bwnz 白内障
bwnz 白
bwpp 白袍
bwps 白皮书
bwqd 鼻腔
bwqe 白求恩
bwqf 版权法
bwqj 博闻强记
bwql 兵器
bwqx 版权
bwqy 白旗
bwr 兵
bwrf 白人
bwrh 白热化
bwrm 白日梦
bwrs 白日
bwrz 不为人知
bws/ 兵书
bwsb 白薯
bwsd 不为所动
bwsg 白水
bwsi 白送
bwsj 兵士
bwso 鼻塞
bwsq 版税
bwsq 别无所求
bwss 白森森
bwst 白色
bwsz 版式
bwt 鹎
bwtc 鼻涕
bwte 白天鹅
bwtf 别无他法
bwtg 版图
bwtg 兵团
bwth 白天
bwti 白糖
bwto 白头
bwtp 鹎
bwtq 别无他求
bwtt 白兔
bwtt 白条
bww 魄
bwwe 卑微
bwwl 白雾
bwwn 魄
bwx. 白熊
bwxb 白血病
bwxb 白细胞
bwxj 卑下
bwxl 白雪
bwxs 白晰
bwxw 鼻血
bwxx 白皙
bwxz 别无选择
bwy. 鼻翼
bwyb 兵营
bwyc 兵源
bwye 兵役
bwyf 兵役法
bwyg 白眼
bwyg 白蚁
bwyh 白云
bwyi 鼻炎
bwyi 白烟
bwyl 兵员
bwys 白云山
bwyx 白杨
bwyy 白衣
bwyz 白银
bwz/ 白纸
bwzb 白芷
bwzf 白做
bwzg 保卫祖国
bwzj 白术
bwzm 鼻子
bwzn 白昼
bwzo 白字
bwzp 鼻祖
bwzy 版主
bwzy 不务正业
bwzy 白族
bx 标
bxaz 必须按照
bxbb 并行不悖
bxbc 必须保持
